Issue Type,Summary,Epic Name,Epic Link,Components,Labels,Story Points,Sprint,Priority,Description
Story,BE: Cap nhat va xoa variant,,Catalog Completion,server,catalog,3,PM Sprint 1,Highest,"PATCH/DELETE /products/:productId/variants/:variantId. AC: giu unique optionsKey va sku; xoa variant cuoi cung bi tu choi; anh cua variant bi xoa khong tro thanh orphan (hien onDelete mac dinh la SetNull)."
Story,BE: Quan ly anh variant (thu tu + anh chinh),,Catalog Completion,server,catalog,2,PM Sprint 1,Medium,"API set isMain va sortOrder cho ProductImage. AC: chi 1 anh isMain moi variant; sortOrder lien tuc."
Story,Vendor UI: form sua san pham,,Catalog Completion,vendor,catalog,3,PM Sprint 1,High,"Tai su dung CreateProductModal thanh Update. AC: reset state trong onOpenChange (khong dung useEffect); submit thanh cong thi invalidate query."
Story,Vendor UI: CRUD variant tren trang chi tiet + bo mock,,Catalog Completion,vendor,catalog,3,PM Sprint 1,High,"Thay product-detail.mock.ts bang API that. AC: file mock bi xoa; them/sua/xoa variant hoat dong; upload anh gan vao variant."
Story,BE: Catalog public co filter search pagination,,Public Catalog & SEO,server,catalog;seo,5,PM Sprint 2,Highest,"Mo rong GET /products/variants: q, categorySlug, brandSlug, minPrice, maxPrice, sort, page, limit. AC: hien tai findMany khong gioi han - phai co pagination; chi tra variant cua product APPROVED/ACTIVE va deletedAt null; tra ve tong so trang."
Story,BE: Ra soat index cho truy van catalog,,Public Catalog & SEO,server,performance,1,PM Sprint 2,Medium,"EXPLAIN ANALYZE cac query catalog, them index con thieu (price, createdAt). AC: khong Full Table Scan tren products/product_variants."
Story,Client: trang danh sach san pham (SSR),,Public Catalog & SEO,client,catalog;seo,5,PM Sprint 2,Highest,"Thay stub app/(public)/products/page.tsx. Server Component doc searchParams. AC: filter theo category/brand/gia; phan trang; URL chia se duoc; HTML tra ve da co san pham."
Story,Client: search bar co debounce,,Public Catalog & SEO,client,catalog,2,PM Sprint 2,High,"Debounce 300ms, sync vao query string. AC: go 'iphone' chi ban 1 request."
Story,Client: trang chi tiet san pham + metadata + JSON-LD,,Public Catalog & SEO,client,catalog;seo,5,PM Sprint 2,Highest,"Thay stub app/(public)/products/[slug]/page.tsx. AC: generateMetadata co title/description/OG; JSON-LD Product; chon variant doi anh va gia; het hang thi disable nut mua."
Story,Client: xu ly 404 cho slug khong ton tai,,Public Catalog & SEO,client,catalog,1,PM Sprint 2,Medium,"Dung notFound() cua Next. AC: /products/khong-ton-tai tra ve trang 404 dep, khong crash."
Story,Client: thay du lieu hardcode o landing bang API,,Public Catalog & SEO,client,catalog,3,PM Sprint 2,Medium,"best-seller-section va deal-section dang dung du lieu tinh. AC: doc tu API catalog; co skeleton loading."
Story,DB: model Cart va CartItem,,Shopping Cart,server,cart,2,PM Sprint 3,Highest,"Migration them Cart (1-1 user) va CartItem (variantId, quantity). AC: unique (cartId, variantId); onDelete hop ly."
Story,BE: API gio hang,,Shopping Cart,server,cart,5,PM Sprint 3,Highest,"GET/POST/PATCH/DELETE /cart. AC: client chi gui variantId + quantity, gia lay tu DB; khong cho quantity > stock; tra ve tong tien tinh o server."
Story,BE: merge gio hang khi dang nhap,,Shopping Cart,server,cart,3,PM Sprint 3,High,"POST /cart/merge nhan mang item tu localStorage. AC: item trung thi cong don va cap gia tran theo stock; goi 2 lan khong nhan doi (idempotent)."
Story,Client: cart store (Zustand + localStorage cho guest),,Shopping Cart,client,cart,3,PM Sprint 3,High,"AC: guest them vao gio duoc, refresh khong mat; khong loi hydration mismatch trong Next."
Story,Client: trang/drawer gio hang + badge header,,Shopping Cart,client,cart,3,PM Sprint 3,High,"AC: doi so luong, xoa item, badge nhay so ngay; empty state."
Story,Client: goi merge sau khi login thanh cong,,Shopping Cart,client,cart,2,PM Sprint 3,High,"AC: dang nhap xong gio hang guest khong bi mat; localStorage duoc don sau merge."
Story,DB: model Order OrderItem OrderStatus,,Checkout & Order,server,order,3,PM Sprint 4,Highest,"Migration: Order (userId, vendorId, addressId snapshot, total, status, paymentStatus), OrderItem (snapshot ten/gia/anh tai thoi diem mua). AC: gia luu Int (dong); snapshot khong phu thuoc san pham bi sua/xoa."
Story,BE: tao don hang trong transaction,,Checkout & Order,server,order,5,PM Sprint 4,Highest,"POST /orders. AC: kiem tra stock truoc khi tao; toan bo trong $transaction, loi thi rollback; chua thanh toan thi CHUA tru kho (giu cho); tinh tien hoan toan o server."
Story,BE: tach don theo vendor,,Checkout & Order,server,order,3,PM Sprint 4,High,"1 lan checkout nhieu vendor -> nhieu Order, 1 groupId. AC: moi vendor chi thay don cua minh."
Story,BE: CRUD dia chi khach hang,,Checkout & Order,server,order,3,PM Sprint 4,High,"Dung model Address san co (ownerType USER). AC: chi 1 dia chi isDefault; khong xem/sua duoc dia chi nguoi khac."
Story,Client: so dia chi trong trang profile,,Checkout & Order,client,order,3,PM Sprint 4,Medium,"Thay stub app/(protected)/profile/page.tsx. AC: them/sua/xoa/dat mac dinh."
Story,Client: trang checkout,,Checkout & Order,client,order,5,PM Sprint 4,Highest,"Thay stub app/(protected)/checkout/page.tsx. AC: chon dia chi, xem tom tat theo vendor, phi ship, tong tien khop server; disable nut khi thieu dia chi."
Story,BE: VNPay tao URL thanh toan,,Payment Integration,server,payment,5,PM Sprint 5,Highest,"Sign HMAC SHA512 theo spec VNPay sandbox. AC: sai secret thi VNPay tu choi; luu vnp_TxnRef map ve orderId."
Story,BE: IPN webhook xac thuc va idempotent,,Payment Integration,server,payment,5,PM Sprint 5,Highest,"POST /payments/vnpay/ipn. AC: verify checksum truoc khi lam gi; request gia mao bi tu choi; goi lai cung 1 IPN khong tru kho 2 lan; sai so tien thi tu choi."
Story,BE: tru kho khi thanh toan thanh cong,,Payment Integration,server,payment,3,PM Sprint 5,Highest,"AC: chi tru khi IPN bao thanh cong; tru trong transaction; kho am la bug chan cung."
Story,BE: huy don chua thanh toan sau N phut,,Payment Integration,server,payment,2,PM Sprint 5,Medium,"Job don don PENDING qua han. AC: don qua 15 phut chuyen CANCELLED va nha giu cho."
Story,Client: trang thanh toan + xu ly return URL,,Payment Integration,client,payment,3,PM Sprint 5,High,"Thay stub app/(protected)/payment/page.tsx. AC: hien ket qua theo trang thai don doc tu server (khong tin query string); truong hop dong tab giua duong van co ket qua dung."
Story,BE: chuyen trang thai don + phan quyen,,Order Fulfilment,server,order,3,PM Sprint 6,Highest,"State machine: PENDING/PAID/CONFIRMED/SHIPPING/DELIVERED/CANCELLED/REFUNDED. AC: chuyen trang thai sai bi 400; vendor khong huy duoc don da giao; khach chi huy duoc khi chua CONFIRMED."
Story,Vendor UI: danh sach va chi tiet don hang,,Order Fulfilment,vendor,order,5,PM Sprint 6,Highest,"Thay placeholder /orders. AC: filter theo trang thai, doi trang thai, xem thong tin giao hang."
Story,Client: lich su don hang va chi tiet,,Order Fulfilment,client,order,5,PM Sprint 6,Highest,"AC: xem theo trang thai, xem timeline, huy don khi duoc phep, mua lai."
Story,Admin UI: tong quan don hang,,Order Fulfilment,admin,order,3,PM Sprint 6,Medium,"AC: tim don theo ma/email, xem chi tiet, can thiep huy/hoan tien."
Story,BE: email thong bao trang thai don,,Order Fulfilment,server,order,2,PM Sprint 6,Medium,"Nodemailer, goi truc tiep (se chuyen sang queue o Sprint 13). AC: khong log/gui thong tin the; loi gui mail khong lam fail request dat hang."
Story,Vendor UI: trang return/refund/cancel,,Order Fulfilment,vendor,order,3,PM Sprint 6,Low,"Thay placeholder /orders/returns. AC: duyet/tu choi yeu cau tra hang."
Story,DB: model Review,,Review & Rating,server,review,2,PM Sprint 7,High,"Review (orderItemId unique, rating 1-5, comment, images). AC: chi 1 review moi orderItem."
Story,BE: API danh gia,,Review & Rating,server,review,5,PM Sprint 7,High,"AC: chi review duoc khi don DELIVERED va thuoc chinh minh; rating ngoai 1-5 bi tu choi; sua duoc trong 7 ngay."
Story,BE: tinh lai rating san pham va vendor,,Review & Rating,server,review,3,PM Sprint 7,Medium,"AC: Vendor.rating cap nhat khi co review moi/xoa; tinh bang aggregate khong bang vong lap."
Story,Client: form va danh sach review tren PDP,,Review & Rating,client,review,5,PM Sprint 7,High,"AC: phan trang review, loc theo so sao, hien anh; user chua mua khong thay form."
Story,Vendor UI: quan ly review + tra loi,,Review & Rating,vendor,review,3,PM Sprint 7,Low,"Thay placeholder /reviews."
Story,DB: model Wishlist va Coupon,,Wishlist & Promotions,server,promotion,3,PM Sprint 8,Medium,"Coupon (code unique, type PERCENT/FIXED, value, minOrder, maxDiscount, usageLimit, perUserLimit, startAt/endAt, vendorId nullable cho coupon san). AC: migration co index tren code."
Story,BE: API wishlist,,Wishlist & Promotions,server,promotion,2,PM Sprint 8,Low,"AC: unique (userId, variantId); toggle idempotent."
Story,Client: trang wishlist + nut trai tim,,Wishlist & Promotions,client,promotion,3,PM Sprint 8,Low,"AC: guest bam trai tim thi dieu huong login; optimistic update."
Story,BE: CRUD coupon (admin + vendor),,Wishlist & Promotions,server,promotion,3,PM Sprint 8,Medium,"AC: vendor chi tao coupon cho shop minh; code trung bi tu choi."
Story,BE: validate va ap dung coupon khi checkout,,Wishlist & Promotions,server,promotion,5,PM Sprint 8,High,"AC: het han/het luot/duoi minOrder bi tu choi; giam gia tinh o server; chong dung vuot perUserLimit khi 2 request song song."
Story,Admin/Vendor UI: trang khuyen mai,,Wishlist & Promotions,admin;vendor,promotion,5,PM Sprint 8,Medium,"Thay placeholder /system/promotions va /vouchers. AC: tao/sua/tat coupon, xem so luot dung."
Story,BE: API thong ke cho admin,,Dashboards & Reports,server,analytics,5,PM Sprint 9,Medium,"Doanh thu theo thang, so don theo trang thai, top san pham, vendor moi. AC: query aggregate o DB khong xu ly trong JS; co filter khoang ngay."
Story,Admin UI: dashboard + trang doanh thu,,Dashboards & Reports,admin,analytics,5,PM Sprint 9,Medium,"Recharts. Thay placeholder /analytics/sales va /analytics/traffic. AC: doi khoang ngay thi chart refetch; co empty state."
Story,BE: API thong ke cho vendor,,Dashboards & Reports,server,analytics,3,PM Sprint 9,Medium,"AC: vendor chi thay so lieu shop minh."
Story,Vendor UI: business insight + income,,Dashboards & Reports,vendor,analytics,5,PM Sprint 9,Medium,"Thay placeholder /analytics/*. AC: bieu do doanh thu, don hang, so du."
Story,Admin UI: roles & permissions,,Dashboards & Reports,admin,rbac,3,PM Sprint 9,Low,"Bang Permission/RolePermissions da co trong schema nhung chua co UI. AC: gan/bo permission cho role."
Story,Dockerfile cho server (multi-stage),,DevOps: Docker CI/CD Testing,infra,devops,3,PM Sprint 10,High,"AC: co .dockerignore loai node_modules; image chay duoc prisma migrate deploy; kich thuoc image duoi 400MB."
Story,Dockerfile cho client admin vendor,,DevOps: Docker CI/CD Testing,infra,devops,3,PM Sprint 10,High,"AC: build duoc trong pnpm workspace (can shared); client dung Next standalone output."
Story,docker-compose cho toan he thong,,DevOps: Docker CI/CD Testing,infra,devops,3,PM Sprint 10,High,"postgres + redis + server + 3 web. AC: dung named volume cho postgres, tat container khong mat data; chi mot lenh docker compose up la chay."
Story,GitHub Actions: lint typecheck build tren PR,,DevOps: Docker CI/CD Testing,infra,devops,3,PM Sprint 10,High,"AC: PR fail lint thi khong merge duoc; cache pnpm store."
Story,GitHub Actions: chay vitest voi Postgres service,,DevOps: Docker CI/CD Testing,infra,devops,3,PM Sprint 10,High,"Test tich hop dung DB that. AC: migrate DB test truoc khi chay; test khong phu thuoc thu tu."
Story,Bo sung test tich hop cho cart order payment,,DevOps: Docker CI/CD Testing,server,devops;testing,5,PM Sprint 10,High,"AC: co test over-selling, test IPN gia mao, test coupon dung qua luot, test guard phan quyen."
Story,Setup Redis + helper cache-aside,,Performance & Caching,server;infra,performance,3,PM Sprint 11,Medium,"AC: helper co TTL bat buoc (khong cache vinh vien); Redis chet thi request van chay (fallback DB)."
Story,Cache category brand va catalog trang chu,,Performance & Caching,server,performance,3,PM Sprint 11,Medium,"AC: lan 2 lay tu cache; co do latency truoc/sau."
Story,Cache invalidation khi ghi,,Performance & Caching,server,performance,3,PM Sprint 11,Medium,"AC: admin doi gia/danh muc thi cache bi xoa ngay, khach khong thay du lieu cu."
Story,Ra soat index DB bang EXPLAIN ANALYZE,,Performance & Caching,server,performance,3,PM Sprint 11,Medium,"AC: chi them index cho cot trong WHERE/JOIN/ORDER BY; ghi lai ket qua truoc/sau."
Story,Toi uu frontend: next/image ISR bundle,,Performance & Caching,client,performance,3,PM Sprint 11,Medium,"AC: Lighthouse Performance >= 90 tren trang chu va PDP; anh dung next/image."
Story,Ra soat rate limit cac endpoint public,,Performance & Caching,server,performance;security,1,PM Sprint 11,Medium,"Da co express-rate-limit. AC: login/register/search co limit rieng."
Story,BE: thong bao loi theo Accept-Language,,Internationalization,server,i18n,3,PM Sprint 12,Low,"AC: loi validate tra ve vi hoac en theo header."
Story,DB: chien luoc dich ten danh muc/san pham,,Internationalization,server,i18n,3,PM Sprint 12,Low,"Chon 1: bang translation rieng hoac cot JSON. AC: co ADR ghi ly do chon."
Story,Client: setup next-intl + routing theo locale,,Internationalization,client,i18n,5,PM Sprint 12,Low,"AC: /vi va /en hoat dong; SEO co hreflang; format tien te va ngay theo locale."
Story,Admin/Vendor: i18n cho chuoi UI,,Internationalization,admin;vendor,i18n,3,PM Sprint 12,Low,"AC: doi ngon ngu khong reload trang."
Story,Tach Auth Service voi schema rieng,,Microservices & Observability,server;infra,microservices,5,PM Sprint 13,Medium,"AC: Auth Service khong truy cap bang cua Product; chay doc lap tren port rieng."
Story,Tach Catalog/Product Service,,Microservices & Observability,server;infra,microservices,5,PM Sprint 13,Medium,"AC: xoa code khong lien quan o moi ben; service tu quan ly DB cua minh."
Story,API Gateway (routing + auth tap trung + rate limit),,Microservices & Observability,server;infra,microservices,5,PM Sprint 13,Medium,"AC: frontend chi goi 1 port duy nhat; gateway khong chua logic nghiep vu nang."
Story,RabbitMQ + Notification Service,,Microservices & Observability,server;infra,microservices,5,PM Sprint 13,Medium,"AC: queue durable va message persistent; RabbitMQ restart khong mat message; consumer idempotent (khong gui mail trung); dat hang tra ve ngay khong doi gui mail."
Story,Winston JSON logging + correlation id,,Microservices & Observability,server,observability,3,PM Sprint 13,Medium,"AC: co requestId xuyen suot cac service; mask password/token/so the truoc khi log."
Story,Loki + Promtail thu log tap trung,,Microservices & Observability,infra,observability,3,PM Sprint 14,Low,"AC: tim duoc log cua ca 4 service tai 1 cho theo requestId."
Story,Prometheus + Grafana dashboard,,Microservices & Observability,infra,observability,5,PM Sprint 14,Low,"AC: dashboard co CPU/RAM/request rate/error rate cho tung service."
Story,K8s: manifest deployment service ingress secret,,Microservices & Observability,infra,microservices,5,PM Sprint 14,Low,"Minikube. AC: khong hardcode secret trong yaml; co resources request/limit cho moi pod."
Story,Test self-healing tren K8s,,Microservices & Observability,infra,microservices,2,PM Sprint 14,Low,"AC: xoa tay 1 pod, he thong tu bat lai, web khong gian doan."
Story,Seed data demo,,Release & Documentation,server,docs,3,PM Sprint 14,High,"Script seed: role/permission, admin, 3 vendor, ~50 san pham co variant va anh, don hang mau. AC: chay 1 lenh la co du lieu demo day du."
Story,Viet lai README + tai lieu kien truc,,Release & Documentation,infra,docs,3,PM Sprint 14,High,"README hien tai chi 12 byte. AC: co so do kien truc, huong dan chay bang docker compose, danh sach tinh nang, anh chup man hinh."
Story,Cap nhat trang thai docs/plan/README.md,,Release & Documentation,infra,docs,1,PM Sprint 1,Medium,"Bang trang thai 16 phase dang lech so voi code (Phase 05/12 da lam nhieu hon mo ta). AC: trang thai khop codebase."
Story,Security pass truoc release,,Release & Documentation,server,security,3,PM Sprint 14,High,"AC: chay /security-review; kiem tra IDOR tren order/cart/address; kiem tra khong endpoint nao thieu guard; helmet + CORS dung cau hinh production."
